Month,Month_parsed,nbr
1949-01,1949-01-01T00:00:00.000Z,112
1949-02,1949-02-01T00:00:00.000Z,118
1949-03,1949-03-01T00:00:00.000Z,132
1949-04,1949-04-01T00:00:00.000Z,129
1949-05,1949-05-01T00:00:00.000Z,121
1949-06,1949-06-01T00:00:00.000Z,135
1949-07,1949-07-01T00:00:00.000Z,148
1949-08,1949-08-01T00:00:00.000Z,148
1949-09,1949-09-01T00:00:00.000Z,136
1949-10,1949-10-01T00:00:00.000Z,119
1949-11,1949-11-01T00:00:00.000Z,104
1949-12,1949-12-01T00:00:00.000Z,118
1950-01,1950-01-01T00:00:00.000Z,115
1950-02,1950-02-01T00:00:00.000Z,126
1950-03,1950-03-01T00:00:00.000Z,141
1950-04,1950-04-01T00:00:00.000Z,135
1950-05,1950-05-01T00:00:00.000Z,125
1950-06,1950-06-01T00:00:00.000Z,149
1950-07,1950-07-01T00:00:00.000Z,170
1950-08,1950-08-01T00:00:00.000Z,170
1950-09,1950-09-01T00:00:00.000Z,158
1950-10,1950-10-01T00:00:00.000Z,133
1950-11,1950-11-01T00:00:00.000Z,114
1950-12,1950-12-01T00:00:00.000Z,140
1951-01,1951-01-01T00:00:00.000Z,145
1951-02,1951-02-01T00:00:00.000Z,150
1951-03,1951-03-01T00:00:00.000Z,178
1951-04,1951-04-01T00:00:00.000Z,163
1951-05,1951-05-01T00:00:00.000Z,172
1951-06,1951-06-01T00:00:00.000Z,178
1951-07,1951-07-01T00:00:00.000Z,199
1951-08,1951-08-01T00:00:00.000Z,199
1951-09,1951-09-01T00:00:00.000Z,184
1951-10,1951-10-01T00:00:00.000Z,162
1951-11,1951-11-01T00:00:00.000Z,146
1951-12,1951-12-01T00:00:00.000Z,166
1952-01,1952-01-01T00:00:00.000Z,171
1952-02,1952-02-01T00:00:00.000Z,180
1952-03,1952-03-01T00:00:00.000Z,193
1952-04,1952-04-01T00:00:00.000Z,181
1952-05,1952-05-01T00:00:00.000Z,183
1952-06,1952-06-01T00:00:00.000Z,218
1952-07,1952-07-01T00:00:00.000Z,230
1952-08,1952-08-01T00:00:00.000Z,242
1952-09,1952-09-01T00:00:00.000Z,209
1952-10,1952-10-01T00:00:00.000Z,191
1952-11,1952-11-01T00:00:00.000Z,172
1952-12,1952-12-01T00:00:00.000Z,194
1953-01,1953-01-01T00:00:00.000Z,196
1953-02,1953-02-01T00:00:00.000Z,196
1953-03,1953-03-01T00:00:00.000Z,236
1953-04,1953-04-01T00:00:00.000Z,235
1953-05,1953-05-01T00:00:00.000Z,229
1953-06,1953-06-01T00:00:00.000Z,243
1953-07,1953-07-01T00:00:00.000Z,264
1953-08,1953-08-01T00:00:00.000Z,272
1953-09,1953-09-01T00:00:00.000Z,237
1953-10,1953-10-01T00:00:00.000Z,211
1953-11,1953-11-01T00:00:00.000Z,180
1953-12,1953-12-01T00:00:00.000Z,201
1954-01,1954-01-01T00:00:00.000Z,204
1954-02,1954-02-01T00:00:00.000Z,188
1954-03,1954-03-01T00:00:00.000Z,235
1954-04,1954-04-01T00:00:00.000Z,227
1954-05,1954-05-01T00:00:00.000Z,234
1954-06,1954-06-01T00:00:00.000Z,264
1954-07,1954-07-01T00:00:00.000Z,302
1954-08,1954-08-01T00:00:00.000Z,293
1954-09,1954-09-01T00:00:00.000Z,259
1954-10,1954-10-01T00:00:00.000Z,229
1954-11,1954-11-01T00:00:00.000Z,203
1954-12,1954-12-01T00:00:00.000Z,229
1955-01,1955-01-01T00:00:00.000Z,242
1955-02,1955-02-01T00:00:00.000Z,233
1955-03,1955-03-01T00:00:00.000Z,267
1955-04,1955-04-01T00:00:00.000Z,269
1955-05,1955-05-01T00:00:00.000Z,270
1955-06,1955-06-01T00:00:00.000Z,315
1955-07,1955-07-01T00:00:00.000Z,364
1955-08,1955-08-01T00:00:00.000Z,347
1955-09,1955-09-01T00:00:00.000Z,312
1955-10,1955-10-01T00:00:00.000Z,274
1955-11,1955-11-01T00:00:00.000Z,237
1955-12,1955-12-01T00:00:00.000Z,278
1956-01,1956-01-01T00:00:00.000Z,284
1956-02,1956-02-01T00:00:00.000Z,277
1956-03,1956-03-01T00:00:00.000Z,317
1956-04,1956-04-01T00:00:00.000Z,313
1956-05,1956-05-01T00:00:00.000Z,318
1956-06,1956-06-01T00:00:00.000Z,374
1956-07,1956-07-01T00:00:00.000Z,413
1956-08,1956-08-01T00:00:00.000Z,405
1956-09,1956-09-01T00:00:00.000Z,355
1956-10,1956-10-01T00:00:00.000Z,306
1956-11,1956-11-01T00:00:00.000Z,271
1956-12,1956-12-01T00:00:00.000Z,306
1957-01,1957-01-01T00:00:00.000Z,315
1957-02,1957-02-01T00:00:00.000Z,301
1957-03,1957-03-01T00:00:00.000Z,356
1957-04,1957-04-01T00:00:00.000Z,348
1957-05,1957-05-01T00:00:00.000Z,355
1957-06,1957-06-01T00:00:00.000Z,422
1957-07,1957-07-01T00:00:00.000Z,465
1957-08,1957-08-01T00:00:00.000Z,467
1957-09,1957-09-01T00:00:00.000Z,404
1957-10,1957-10-01T00:00:00.000Z,347
1957-11,1957-11-01T00:00:00.000Z,305
1957-12,1957-12-01T00:00:00.000Z,336
1958-01,1958-01-01T00:00:00.000Z,340
1958-02,1958-02-01T00:00:00.000Z,318
1958-03,1958-03-01T00:00:00.000Z,362
1958-04,1958-04-01T00:00:00.000Z,348
1958-05,1958-05-01T00:00:00.000Z,363
1958-06,1958-06-01T00:00:00.000Z,435
1958-07,1958-07-01T00:00:00.000Z,491
1958-08,1958-08-01T00:00:00.000Z,505
1958-09,1958-09-01T00:00:00.000Z,404
1958-10,1958-10-01T00:00:00.000Z,359
1958-11,1958-11-01T00:00:00.000Z,310
1958-12,1958-12-01T00:00:00.000Z,337
1959-01,1959-01-01T00:00:00.000Z,360
1959-02,1959-02-01T00:00:00.000Z,342
1959-03,1959-03-01T00:00:00.000Z,406
1959-04,1959-04-01T00:00:00.000Z,396
1959-05,1959-05-01T00:00:00.000Z,420
1959-06,1959-06-01T00:00:00.000Z,472
1959-07,1959-07-01T00:00:00.000Z,548
1959-08,1959-08-01T00:00:00.000Z,559
1959-09,1959-09-01T00:00:00.000Z,463
1959-10,1959-10-01T00:00:00.000Z,407
1959-11,1959-11-01T00:00:00.000Z,362
1959-12,1959-12-01T00:00:00.000Z,405
1960-01,1960-01-01T00:00:00.000Z,417
1960-02,1960-02-01T00:00:00.000Z,391
1960-03,1960-03-01T00:00:00.000Z,419
1960-04,1960-04-01T00:00:00.000Z,461
1960-05,1960-05-01T00:00:00.000Z,472
1960-06,1960-06-01T00:00:00.000Z,535
1960-07,1960-07-01T00:00:00.000Z,622
1960-08,1960-08-01T00:00:00.000Z,606
1960-09,1960-09-01T00:00:00.000Z,508
1960-10,1960-10-01T00:00:00.000Z,461
1960-11,1960-11-01T00:00:00.000Z,390
1960-12,1960-12-01T00:00:00.000Z,432
